"accessCode","userID","fastestRT_user","highestLevel_user","highestLevelTrialCount_user","trialCount_user","nLevels_user","timePlayed_difficulty","HITS_user","Hit_AvgRT_user","Hit_SDRT_user","MISSED_user","Miss_AvgRT_user","Miss_SDRT_user","WRONG_user","Wrong_AvgRT_user","Wrong_SDRT_user","first_count","first_count_correct","RuleChange_Accuracy_Pct","HITS_diff_Easy","HITS_diff_Medium","HITS_diff_Difficult","Hit_AvgRT_diff_Easy","Hit_AvgRT_diff_Medium","Hit_AvgRT_diff_Difficult","Hit_SDRT_diff_Easy","Hit_SDRT_diff_Medium","Hit_SDRT_diff_Difficult","DifficultyTrialCount_Easy","DifficultyTrialCount_Medium","DifficultyTrialCount_Difficult","Difficulty_Hits_Easy","Difficulty_Hits_Medium","Difficulty_Hits_Difficult","Accuracy_Pct_diff_Easy","Accuracy_Pct_diff_Medium","Accuracy_Pct_diff_Difficult","count_afterWrong_HIT","count_afterWrong_MISSED","count_afterWrong_WRONG","count_afterWrong_NA","avgRT_afterWrong_HIT","avgRT_afterWrong_MISSED","avgRT_afterWrong_WRONG","n_afterWrong","accuracy_afterWrong","highestLevelPct_user","percentCorrect_user","HitRate_user","FARate_user","DPrime_user","fastestRT_diff_Easy","fastestRT_diff_Medium","fastestRT_diff_Difficult","highestLevel_diff_Easy","highestLevel_diff_Medium","highestLevel_diff_Difficult","highestLevelTrialCount_diff_Easy","highestLevelTrialCount_diff_Medium","highestLevelTrialCount_diff_Difficult","trialCount_diff_Easy","trialCount_diff_Medium","trialCount_diff_Difficult","nLevels_diff_Easy","nLevels_diff_Medium","nLevels_diff_Difficult","timePlayed_difficulty_Easy","timePlayed_difficulty_Medium","timePlayed_difficulty_Difficult","HITS_diff_Easy1","HITS_diff_Medium1","HITS_diff_Difficult1","Hit_AvgRT_diff_Easy1","Hit_AvgRT_diff_Medium1","Hit_AvgRT_diff_Difficult1","Hit_SDRT_diff_Easy1","Hit_SDRT_diff_Medium1","Hit_SDRT_diff_Difficult1","MISSED_diff_Easy","MISSED_diff_Medium","MISSED_diff_Difficult","Miss_AvgRT_diff_Easy","Miss_AvgRT_diff_Medium","Miss_AvgRT_diff_Difficult","Miss_SDRT_diff_Easy","Miss_SDRT_diff_Medium","Miss_SDRT_diff_Difficult","WRONG_diff_Easy","WRONG_diff_Medium","WRONG_diff_Difficult","Wrong_AvgRT_diff_Easy","Wrong_AvgRT_diff_Medium","Wrong_AvgRT_diff_Difficult","Wrong_SDRT_diff_Easy","Wrong_SDRT_diff_Medium","Wrong_SDRT_diff_Difficult","highestLevelPct_diff_Easy","highestLevelPct_diff_Medium","highestLevelPct_diff_Difficult","percentCorrect_diff_Easy","percentCorrect_diff_Medium","percentCorrect_diff_Difficult","HitRate_diff_Easy","HitRate_diff_Medium","HitRate_diff_Difficult","FARate_diff_Easy","FARate_diff_Medium","FARate_diff_Difficult","DPrime_diff_Easy","DPrime_diff_Medium","DPrime_diff_Difficult","fastestRT_sess_1","fastestRT_sess_2","fastestRT_sess_3","fastestRT_sess_4","fastestRT_sess_5","fastestRT_sess_6","highestLevel_sess_1","highestLevel_sess_2","highestLevel_sess_3","highestLevel_sess_4","highestLevel_sess_5","highestLevel_sess_6","highestTrialCount_sess_1","highestTrialCount_sess_2","highestTrialCount_sess_3","highestTrialCount_sess_4","highestTrialCount_sess_5","highestTrialCount_sess_6","trialCount_sess_1","trialCount_sess_2","trialCount_sess_3","trialCount_sess_4","trialCount_sess_5","trialCount_sess_6","nLevels_sess_1","nLevels_sess_2","nLevels_sess_3","nLevels_sess_4","nLevels_sess_5","nLevels_sess_6","timePlayed_sess_1","timePlayed_sess_2","timePlayed_sess_3","timePlayed_sess_4","timePlayed_sess_5","timePlayed_sess_6","HITS_sess_1","HITS_sess_2","HITS_sess_3","HITS_sess_4","HITS_sess_5","HITS_sess_6","Hit_AvgRT_sess_1","Hit_AvgRT_sess_2","Hit_AvgRT_sess_3","Hit_AvgRT_sess_4","Hit_AvgRT_sess_5","Hit_AvgRT_sess_6","Hit_SDRT_sess_1","Hit_SDRT_sess_2","Hit_SDRT_sess_3","Hit_SDRT_sess_4","Hit_SDRT_sess_5","Hit_SDRT_sess_6","MISSED_sess_1","MISSED_sess_2","MISSED_sess_3","MISSED_sess_4","MISSED_sess_5","MISSED_sess_6","Miss_AvgRT_sess_1","Miss_AvgRT_sess_2","Miss_AvgRT_sess_3","Miss_AvgRT_sess_4","Miss_AvgRT_sess_5","Miss_AvgRT_sess_6","Miss_SDRT_sess_1","Miss_SDRT_sess_2","Miss_SDRT_sess_3","Miss_SDRT_sess_4","Miss_SDRT_sess_5","Miss_SDRT_sess_6","WRONG_sess_1","WRONG_sess_2","WRONG_sess_3","WRONG_sess_4","WRONG_sess_5","WRONG_sess_6","Wrong_AvgRT_sess_1","Wrong_AvgRT_sess_2","Wrong_AvgRT_sess_3","Wrong_AvgRT_sess_4","Wrong_AvgRT_sess_5","Wrong_AvgRT_sess_6","Wrong_SDRT_sess_1","Wrong_SDRT_sess_2","Wrong_SDRT_sess_3","Wrong_SDRT_sess_4","Wrong_SDRT_sess_5","Wrong_SDRT_sess_6","highestLevelPct_sess_1","highestLevelPct_sess_2","highestLevelPct_sess_3","highestLevelPct_sess_4","highestLevelPct_sess_5","highestLevelPct_sess_6","percentCorrect_sess_1","percentCorrect_sess_2","percentCorrect_sess_3","percentCorrect_sess_4","percentCorrect_sess_5","percentCorrect_sess_6","HitRate_sess_1","HitRate_sess_2","HitRate_sess_3","HitRate_sess_4","HitRate_sess_5","HitRate_sess_6","FARate_sess_1","FARate_sess_2","FARate_sess_3","FARate_sess_4","FARate_sess_5","FARate_sess_6","DPrime_sess_1","DPrime_sess_2","DPrime_sess_3","DPrime_sess_4","DPrime_sess_5","DPrime_sess_6"
"ATHBF18","16845",0.05,"SpaceCakesLevel 3-1-0",32,2492,38,"5382",2188,1.13381277765082,0.60630275100788,4,2.0314815,0.887349406576876,300,1.21744671033333,0.866326352224529,16,15,0.94,1416,772,NA,1.08600761822034,1.22149685246114,NA,0.550060084371788,0.689597750749068,NA,1560,932,NA,1416,772,NA,0.907692307692308,0.828326180257511,NA,235,NA,63,2,1.26122786255319,NA,1.3121185,298,0.788590604026846,1,88,0.88,0.12,2.34997358413218,0.05,0.101595,NA,"SpaceCakesLevel 0-4-11","SpaceCakesLevel 3-1-0",NA,30,32,NA,1560,932,NA,23,15,NA,"3634","1748",NA,1416,772,NA,1.08600761822034,1.22149685246114,NA,0.550060084371788,0.689597750749068,NA,4,0,NA,2.0314815,NA,NA,0.887349406576876,NA,NA,140,160,NA,1.25532543214286,1.18430282875,NA,0.954596880415929,0.782532477627326,NA,2,3,NA,91,83,NA,0.91,0.83,NA,0.09,0.17,NA,2.68151006738043,1.90833050629239,NA,0.05,0.25029,0.33335,0.101595,NA,NA,"SpaceCakesLevel 1-3-0","SpaceCakesLevel 1-3-0","SpaceCakesLevel 0-4-11","SpaceCakesLevel 3-1-0",NA,NA,40,40,30,32,NA,NA,690,530,840,432,NA,NA,11,11,21,9,NA,NA,"1436","1368","1748","830",NA,NA,584,472,767,365,NA,NA,0.907043505479452,1.16365772288136,1.06651914797914,1.59945840712329,NA,NA,0.474934337799385,0.564526872700079,0.500983229177789,0.7721468007765,NA,NA,1,3,0,0,NA,NA,1.2182,2.30257533333333,NA,NA,NA,NA,NA,0.860309395043628,NA,NA,NA,NA,105,55,73,67,NA,NA,1.11509228952381,1.24310917090909,1.04729033972603,1.54218094776119,NA,NA,1.05245466395523,0.678069333299228,0.612896283919635,0.844050451242831,NA,NA,6,8,4,7,NA,NA,85,89,91,84,NA,NA,0.85,0.89,0.91,0.84,NA,NA,0.15,0.1,0.09,0.16,NA,NA,2.07286677898758,2.50807968558121,2.68151006738043,1.98891576641951,NA,NA
"ATHBF18","16848",0.0163,"SpaceCakesLevel 4-2-0",52,2962,32,"6517",2793,1.24224679820981,0.591542665420574,1,1.2315,NA,168,1.69715574702381,1.02725775222844,23,23,1,1316,1156,321,1.07020357218845,1.31037666539792,1.70221800996885,0.496989899582922,0.541881439244258,0.792146264487285,1350,1240,372,1316,1156,321,0.974814814814815,0.932258064516129,0.862903225806452,135,NA,33,NA,1.73557508518519,NA,1.49578378181818,168,0.803571428571429,2,94,0.94,0.06,3.10954718919371,0.4337,0.0163,0.0356,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-2-0",90,120,52,1350,1240,372,11,15,6,"3104","2536","877",1316,1156,321,1.07020357218845,1.31037666539792,1.70221800996885,0.496989899582921,0.541881439244258,0.792146264487285,0,0,1,NA,NA,1.2315,NA,NA,NA,34,84,50,1.88878207352941,1.33831285833333,2.169705898,1.29507676641746,0.595768387052566,1.17967090735011,7,10,14,97,93,86,0.97,0.93,0.86,0.03,0.07,0.14,3.7615872163025,2.95158205635834,2.16063868162991,0.0163,0.299935,0.4337,0.024,0.1501,NA,"SpaceCakesLevel 1-2-0","SpaceCakesLevel 2-3-0","SpaceCakesLevel 0-2-5","SpaceCakesLevel 3-4-0","SpaceCakesLevel 4-2-0",NA,80,60,120,80,52,NA,590,680,780,560,352,NA,9,15,7,10,7,NA,"1365","1451","1675","1241","785",NA,557,628,768,530,310,NA,1.19775330951526,1.21421881066879,0.941845677083333,1.50356139226415,1.67642671935484,NA,0.538410872053638,0.603527037116597,0.332266923105748,0.53911337561567,0.770547851633906,NA,0,0,0,0,1,NA,NA,NA,NA,NA,1.2315,NA,NA,NA,NA,NA,NA,NA,33,52,12,30,41,NA,1.55070021515152,1.45156091730769,1.4653333,1.72053984,2.17726087560976,NA,0.772420292955678,0.967943551651496,1.07558202883219,0.992433308289491,1.1630636272348,NA,14,9,15,14,15,NA,94,92,98,95,88,NA,0.94,0.92,0.98,0.95,0.88,NA,0.06,0.08,0.02,0.05,0.12,NA,3.10954718919371,2.81014312061926,4.10749782126364,3.28970725390294,2.34997358413218,NA
"ATHBF18","16851",0,"SpaceCakesLevel 2-2-3",60,1824,31,"4518",1421,0.8943991286981,0.633807650786491,8,0.4421925,0.400558161025694,395,0.882117102810127,0.937862584807203,8,2,0.25,782,639,NA,0.923540955485934,0.858735735039124,NA,0.595522851185121,0.676491414968752,NA,944,880,NA,782,639,NA,0.828389830508475,0.726136363636364,NA,274,1,120,NA,0.87364124120438,0,1.06601561508333,395,0.693670886075949,3,78,0.78,0.22,1.54438642837737,0.033355,0,NA,"SpaceCakesLevel 0-4-5","SpaceCakesLevel 2-2-3",NA,30,60,NA,944,880,NA,16,15,NA,"2736","1782",NA,782,639,NA,0.923540955485934,0.858735735039124,NA,0.595522851185121,0.676491414968752,NA,4,4,NA,0.5546,0.329785,NA,0.430444216827221,0.394207070247774,NA,158,237,NA,1.3909621443038,0.542887075147679,NA,1.14645856798657,0.552414524633541,NA,3,7,NA,83,73,NA,0.83,0.73,NA,0.17,0.27,NA,1.90833050629239,1.22562598203325,NA,0.33415,0.033355,0,0,NA,NA,"SpaceCakesLevel 0-3-1","SpaceCakesLevel 0-4-5","SpaceCakesLevel 2-2-3","SpaceCakesLevel 2-2-0",NA,NA,30,30,60,40,NA,NA,449,495,600,280,NA,NA,8,13,13,7,NA,NA,"1316","1420","1259","523",NA,NA,358,424,422,217,NA,NA,0.986682441340782,0.870228097146226,0.822346304478673,0.929502277419355,NA,NA,0.713248691040456,0.468216529789357,0.715159907793398,0.58928391986168,NA,NA,0,4,4,0,NA,NA,NA,0.5546,0.329785,NA,NA,NA,NA,0.430444216827221,0.394207070247774,NA,NA,NA,91,67,174,63,NA,NA,1.66598909010989,1.01741808358209,0.514562188563218,0.621117714285714,NA,NA,1.32282634253197,0.703188843226859,0.509897636150179,0.653943196172304,NA,NA,7,6,10,14,NA,NA,80,86,70,78,NA,NA,0.8,0.86,0.7,0.77,NA,NA,0.2,0.14,0.29,0.23,NA,NA,1.68324246714583,2.16063868162991,1.07778523226371,1.47769369837043,NA,NA
"ATHBF18","16854",0,"SpaceCakesLevel 3-0-0",66,2145,23,"4875",1992,1.17958553022088,0.732660595109271,4,1.17616355,1.05230092644795,149,1.3131640342953,0.884032823741897,16,13,0.81,958,1034,NA,0.956294765762004,1.38646420754352,NA,0.650494385480881,0.743988836848641,NA,990,1155,NA,958,1034,NA,0.967676767676768,0.895238095238095,NA,114,1,34,NA,1.65690457894737,2.552804,1.66764938558824,149,0.76510067114094,3,93,0.93,0.07,2.95158205635834,0.300175,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-0",NA,60,66,NA,990,1155,NA,10,13,NA,"2349","2526",NA,958,1034,NA,0.956294765762004,1.38646420754352,NA,0.650494385480881,0.743988836848641,NA,0,4,NA,NA,1.17616355,NA,NA,1.05230092644795,NA,32,117,NA,1.09439113125,1.37299935820513,NA,0.613738006873747,0.937884222863592,NA,6,6,NA,97,90,NA,0.97,0.89,NA,0.03,0.1,NA,3.7615872163025,2.50807968558121,NA,0.300175,0,0.38314,0.033345,0.7008051,NA,"SpaceCakesLevel 1-2-0","SpaceCakesLevel 2-0-0","SpaceCakesLevel 0-2-5","SpaceCakesLevel 3-0-0","SpaceCakesLevel 3-0-0",NA,49,40,60,43,23,NA,589,330,600,463,163,NA,10,7,7,6,3,NA,"1348","708","1342","1024","453",NA,545,300,590,401,156,NA,1.03155324697248,1.19923309366667,0.905189959322034,1.62091247456359,1.56230737307692,NA,0.586344877960105,0.716311306490614,0.663588646880617,0.747283080287482,0.75405958182797,NA,1,0,0,0,3,NA,0,NA,NA,NA,1.56821806666667,NA,NA,NA,NA,NA,0.859514627840861,NA,43,30,10,62,4,NA,1.12557257906977,1.23049355333333,0.9228461,1.56770108725806,0.9802713,NA,0.701331676857168,0.761380183906047,0.557134694097289,1.0504835323853,0.357983978202135,NA,8,12,10,9,14,NA,93,91,98,87,96,NA,0.92,0.91,0.98,0.87,0.95,NA,0.07,0.09,0.02,0.13,0.03,NA,2.8808625884888,2.68151006738043,4.10749782126364,2.2527822580776,3.52564723510272,NA
"ATHBF18","16857",0.05722,"SpaceCakesLevel 4-0-2",31,2380,29,"5935",2155,1.53247531313225,0.877398605141344,2,1.70137,2.40610052861471,223,1.73955612869955,1.12413811261449,21,18,0.86,858,1154,143,1.34045804184149,1.58973343492201,2.2225099020979,0.854707245885179,0.836827643493149,0.92393744637006,900,1289,191,858,1154,143,0.953333333333333,0.895267649340574,0.74869109947644,178,2,41,2,1.97590758033708,1.70137,1.71063324146341,221,0.805429864253394,1,91,0.91,0.09,2.68151006738043,0.366445,0.05722,0.316665,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-0-2",90,120,31,900,1289,191,9,16,4,"2402","3114","419",858,1154,143,1.34045804184149,1.58973343492201,2.2225099020979,0.854707245885179,0.836827643493149,0.92393744637006,0,2,0,NA,1.70137,NA,NA,2.40610052861471,NA,42,133,48,1.50353925952381,1.88373001428571,1.54658908125,1.00864954188866,1.15906286309565,1.07784541526056,10,9,16,95,90,75,0.95,0.89,0.75,0.05,0.1,0.25,3.28970725390294,2.50807968558121,1.34897950039216,0.366445,0.43415,0.38314,0.05722,0.316665,NA,"SpaceCakesLevel 1-4-0","SpaceCakesLevel 2-2-0","SpaceCakesLevel 0-2-4","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-0-2",NA,60,60,60,60,31,NA,590,410,510,519,351,NA,10,10,6,10,7,NA,"1355","1013","1435","1311","821",NA,559,365,484,461,286,NA,0.959686731484794,1.43223506493151,1.61802066632231,1.85080367592191,2.12206685699301,NA,0.434683128512447,0.810940304210252,0.981537411833154,0.774085559811321,0.909390147859978,NA,0,0,0,2,0,NA,NA,NA,NA,1.70137,NA,NA,NA,NA,NA,2.40610052861471,NA,NA,31,45,26,56,65,NA,1.1536626,1.70863938,1.66320095769231,2.28371532678571,1.60211416615385,NA,0.545317017214255,1.01525230318354,1.1225369553526,1.35906504000546,1.00411999419765,NA,10,15,12,12,9,NA,95,89,95,89,81,NA,0.95,0.89,0.95,0.89,0.81,NA,0.05,0.11,0.05,0.11,0.19,NA,3.28970725390294,2.45305624007322,3.28970725390294,2.45305624007322,1.75579259010246,NA
"ATHBF18","16860",0.01567,"SpaceCakesLevel 3-1-0",66,1831,26,"5039",1639,1.11754031916412,0.521893926183847,10,1.419446,0.840365948751561,182,1.14768251538462,0.627060885687716,15,14,0.93,1002,637,NA,1.03620166107784,1.24548590064364,NA,0.494667220546803,0.538093122831603,NA,1065,766,NA,1002,637,NA,0.940845070422535,0.831592689295039,NA,135,1,45,1,1.39464608,1.618435,1.12668234,181,0.74585635359116,4,90,0.89,0.1,2.50807968558121,0.04927,0.01567,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-1-0",NA,60,66,NA,1065,766,NA,13,13,NA,"3161","1878",NA,1002,637,NA,1.03620166107784,1.24548590064364,NA,0.494667220546803,0.538093122831603,NA,0,10,NA,NA,1.419446,NA,NA,0.840365948751561,NA,63,119,NA,1.34704446349206,1.04213795462185,NA,0.670428512260916,0.578375804117696,NA,6,9,NA,94,83,NA,0.94,0.83,NA,0.06,0.16,NA,3.10954718919371,1.94862313635595,NA,0.04927,0.3500399,0.382815,0.366335,0.01567,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 1-2-0","SpaceCakesLevel 0-3-5","SpaceCakesLevel 3-1-0","SpaceCakesLevel 3-1-0",NA,30,40,30,40,26,NA,420,340,405,360,306,NA,6,8,10,7,6,NA,"1334","1000","1109","890","706",NA,388,327,381,331,212,NA,1.05210628041237,0.905329717737003,1.07878534488189,1.41190942567976,1.17466647316038,NA,0.542751192548646,0.351721413738823,0.504275114700429,0.443704813486083,0.630516452223967,NA,0,0,0,0,10,NA,NA,NA,NA,NA,1.419446,NA,NA,NA,NA,NA,0.840365948751561,NA,32,13,24,29,84,NA,1.390882628125,1.21417046153846,1.30669129583333,1.3499801862069,0.92947310952381,NA,0.835993782986935,0.496414248341145,0.41064265239726,0.507236794917188,0.577923241115167,NA,7,12,7,11,8,NA,92,96,94,92,69,NA,0.92,0.96,0.94,0.92,0.69,NA,0.08,0.04,0.06,0.08,0.28,NA,2.81014312061926,3.50137214250434,3.10954718919371,2.81014312061926,1.07869185461867,NA
"ATHBF18","16863",0,"SpaceCakesLevel 2-3-1",40,2025,30,"4908",1551,1.68775299078014,1.24670259387229,133,1.02142350075188,1.36024469427598,341,1.59988765129032,1.58721605494129,10,9,0.9,1071,480,NA,1.45141723996265,2.21507713479167,NA,1.13432430553416,1.32351475493226,NA,1365,660,NA,1071,480,NA,0.784615384615385,0.727272727272727,NA,177,12,150,2,1.84105897288136,1.04431295,1.40641013926667,339,0.52212389380531,2,77,0.77,0.17,1.69301210233141,0,0.016455,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-3-1",NA,30,40,NA,1365,660,NA,19,11,NA,"3573","1335",NA,1071,480,NA,1.45141723996265,2.21507713479167,NA,1.13432430553416,1.32351475493226,NA,59,74,NA,0.951100262711864,1.07749202837838,NA,1.70810128452633,1.01014900993285,NA,235,106,NA,1.43584040038298,1.96357731132075,NA,1.5367674865233,1.64338409623944,NA,2,6,NA,78,73,NA,0.78,0.73,NA,0.17,0.16,NA,1.72635846733488,1.60727087422638,NA,0,0,0.04964,0.016455,0.7508,NA,"SpaceCakesLevel 0-2-4","SpaceCakesLevel 1-0-3","SpaceCakesLevel 0-3-7","SpaceCakesLevel 2-2-0","SpaceCakesLevel 2-3-1",NA,60,30,30,20,40,NA,420,540,525,300,240,NA,8,12,14,5,5,NA,"1004","1439","1344","540","581",NA,279,371,482,219,200,NA,1.14846655200717,1.26372948649596,1.6882951406639,2.45598021369863,2.384105783,NA,1.11118320245228,0.989863997901411,1.18190763481435,1.37996829532582,1.10320584651526,NA,6,69,11,30,17,NA,0.114016666666667,0.692363455072464,1.75799440909091,1.22276696666667,1.84536468823529,NA,0.158774675772513,1.41993127471686,1.67394404131265,1.16342404558111,0.732989992999666,NA,135,100,32,51,23,NA,1.15672278881481,1.493086563,1.745751978125,2.43000009803922,2.62179947826087,NA,1.34142614931084,1.58162799515091,1.64121562203447,1.76718017110355,1.3589076927553,NA,14,6,6,7,17,NA,66,69,92,73,83,NA,0.66,0.69,0.92,0.73,0.83,NA,0.32,0.19,0.06,0.17,0.1,NA,0.880161928555913,1.37374664239868,2.95984515490649,1.56697824416282,2.2357168186908,NA
"ATHBF18","16866",0,"SpaceCakesLevel 3-0-3",40,2189,27,"5322",1740,1.26497438574713,0.753764214255244,32,0.94020614375,0.564835689367537,417,1.22794414964029,0.909399276438836,15,11,0.73,912,828,NA,1.20823397138158,1.32747107403382,NA,0.705323128528793,0.799528252886817,NA,1082,1107,NA,912,828,NA,0.842883548983364,0.747967479674797,NA,286,7,123,1,1.3489232993007,0.743650757142857,1.2442747203252,416,0.6875,2,79,0.79,0.19,1.68431754206947,0,0.0174,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-3",NA,60,40,NA,1082,1107,NA,10,17,NA,"2995","2327",NA,912,828,NA,1.20823397138158,1.32747107403382,NA,0.705323128528793,0.799528252886817,NA,11,21,NA,1.09241772727273,0.860476266666667,NA,0.67418347986792,0.497827301540228,NA,159,258,NA,1.34779232389937,1.15408422829457,NA,1.07274949257445,0.785368641641664,NA,6,4,NA,84,75,NA,0.84,0.75,NA,0.15,0.23,NA,2.03089127270354,1.4133365993813,NA,0.383775,0.10103,0,0.0174,0.284405,NA,"SpaceCakesLevel 1-2-1","SpaceCakesLevel 1-3-0","SpaceCakesLevel 0-3-2","SpaceCakesLevel 3-0-3","SpaceCakesLevel 3-0-2",NA,40,40,30,40,17,NA,490,407,495,560,237,NA,10,9,8,11,5,NA,"1167","965","1452","1132","606",NA,434,361,370,410,165,NA,1.16176989769585,1.17974317479224,1.20526268864865,1.39092025243902,1.5438515830303,NA,0.598376721663648,0.590442719738043,0.785804088496884,0.872634911975659,0.924878942111525,NA,0,0,11,10,11,NA,NA,NA,1.09241772727273,0.73752017,0.972254536363636,NA,NA,NA,0.67418347986792,0.601595733095915,0.375601303784697,NA,56,46,114,140,61,NA,1.2613201375,1.33357881304348,1.3210213754386,1.046627205,1.35983461967213,NA,0.734845514267332,1.04341082646834,1.07288563229699,0.690279461877898,1.0149900057835,NA,8,10,6,7,7,NA,89,89,75,73,70,NA,0.88,0.89,0.75,0.73,0.7,NA,0.12,0.11,0.23,0.25,0.26,NA,2.34997358413218,2.45305624007322,1.4133365993813,1.28730274121271,1.16774591810096,NA
"ATHBF18","16872",0,"SpaceCakesLevel 2-3-2",40,2228,34,"5195",1692,2.17803199036643,1.38889804597145,63,2.94799626984127,1.797440471681,473,2.38011540488372,1.60632745514015,13,9,0.69,725,967,NA,2.05052949751724,2.27362589658738,NA,1.37176211754908,1.39468324452459,NA,840,1388,NA,725,967,NA,0.863095238095238,0.696685878962536,NA,272,12,188,1,2.62683199705882,3.14119291666667,2.26667409414894,472,0.576271186440678,2,76,0.76,0.21,1.51272380985833,0.01706,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-3-2",NA,90,40,NA,840,1388,NA,9,25,NA,"2493","2702",NA,725,967,NA,2.05052949751724,2.27362589658738,NA,1.37176211754908,1.3946832445246,NA,6,57,NA,2.62575833333333,2.98191605263158,NA,1.57272635806839,1.82860784915074,NA,109,364,NA,2.64384169633028,2.30114242200549,NA,1.77509195211301,1.54611558060606,NA,11,3,NA,86,70,NA,0.86,0.7,NA,0.13,0.26,NA,2.20671046985376,1.16774591810096,NA,0.016705,0.023,0,0,0,NA,"SpaceCakesLevel 1-3-0","SpaceCakesLevel 1-2-0","SpaceCakesLevel 1-1-4","SpaceCakesLevel 2-2-1","SpaceCakesLevel 2-3-2",NA,40,40,30,60,40,NA,349,560,540,439,340,NA,10,11,15,10,7,NA,"764","1507","1354","894","676",NA,312,518,367,245,250,NA,1.70347431698718,1.93001185617761,2.13725038365123,2.89388676897959,2.6425074004,NA,1.12267720332107,1.24561730263184,1.42638827779931,1.51916521345656,1.38532265016305,NA,0,1,7,53,2,NA,NA,3.920211,2.40806114285714,2.9604741509434,4.020998,NA,NA,NA,1.81972130934853,1.8295973568082,1.03817134771096,NA,37,41,166,141,88,NA,2.42832277567568,2.52513722243902,2.08131488186747,2.60511418439716,2.49541644659091,NA,1.43964908533904,1.70810287527368,1.62993234271857,1.64655091770078,1.45661692424547,NA,11,7,6,14,12,NA,89,92,68,56,74,NA,0.89,0.92,0.68,0.56,0.73,NA,0.11,0.07,0.31,0.32,0.26,NA,2.45305624007322,2.8808625884888,0.963549146461962,0.618668014611286,1.25615839640954,NA
"ATHBF18","16875",0,"SpaceCakesLevel 4-3-0",27,2786,31,"6929",2582,1.36098418206816,0.794563556201127,9,1.64797555555556,0.51166863480824,195,1.56167481584615,1.05360416540086,24,23,0.96,1103,1148,331,1.2276702919311,1.38379902961672,1.72610132960725,0.836001617351376,0.728639251058944,0.750743821695287,1170,1249,367,1103,1148,331,0.942735042735043,0.919135308246597,0.901907356948229,156,2,36,1,1.50538984551282,1.84327,1.57940086111111,194,0.804123711340206,1,93,0.93,0.07,2.95158205635834,0.383725,0.216605,0,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-3-0",90,120,27,1170,1249,367,11,14,6,"3043","2925","961",1103,1148,331,1.2276702919311,1.38379902961672,1.72610132960725,0.836001617351376,0.728639251058945,0.750743821695287,0,7,2,NA,1.63047571428571,1.709225,NA,0.567514997565619,0.390322943214974,67,94,34,1.34216236850746,1.56293655638298,1.99075512058824,0.838017473452632,1.19913777915505,0.884031216819525,8,10,7,94,92,90,0.94,0.92,0.9,0.06,0.08,0.09,3.10954718919371,2.81014312061926,2.62230659923482,0.216605,0.41719,0.400585,0,0.6170151,NA,"SpaceCakesLevel 1-4-0","SpaceCakesLevel 2-3-0","SpaceCakesLevel 0-2-5","SpaceCakesLevel 3-4-0","SpaceCakesLevel 4-3-0",NA,60,60,60,80,27,NA,599,560,720,560,347,NA,11,11,7,10,7,NA,"1625","1283","1704","1499","818",NA,535,504,695,535,313,NA,1.04607249476636,1.37173361884921,1.26492085640288,1.52702760934579,1.81143406805112,NA,0.539882224227761,0.811525958328649,0.948354579670278,0.571311995057888,0.81316533701991,NA,0,7,0,0,2,NA,NA,1.63047571428571,NA,NA,1.709225,NA,NA,0.567514997565619,NA,NA,0.390322943214974,NA,64,49,25,25,32,NA,1.31980587484375,1.88330283877551,1.117843392,1.460132204,1.978993253125,NA,0.812304378731696,1.49910241701714,0.62154484589316,0.667240850971236,0.922660386721225,NA,10,11,8,14,8,NA,89,90,97,96,90,NA,0.89,0.9,0.96,0.95,0.9,NA,0.11,0.09,0.04,0.05,0.09,NA,2.45305624007322,2.62230659923482,3.50137214250434,3.28970725390294,2.62230659923482,NA
